航班编号 航空公司名称 起飞时间 起飞地点 降落时间 降落地点 余票 票价 经停站1名称 到达经停站1时间 经停站2名称 到达经停站2时间
ZG1001 中国航空 03251100 北京 03251340 浦东 179 825 杭州 03251200 0 0
ZG1004 中国航空 03251040 北京 03251300 浦东 1 864 杭州 03251130 0 0
ZG1007 中国航空 03251130 北京 03251310 浦东 160 875 济南 03251230 0 0
ZG1025 中国航空 03251000 北京 03251230 浦东 150 894 杭州 03251100 0 0
ZG1028 中国航空 03251230 北京 03251330 浦东 180 884 0 0 0 0
ZG1031 中国航空 03251030 北京 03251320 浦东 140 868 济南 03251130 0 0

ZG1002 中国航空 03250930 北京 03251330 哈尔滨 150 966 沈阳 03251000 长春 03251130
ZG1003 中国航空 03250930 北京 03251130 武汉 150 986 郑州 03251000 0 0
ZG1005 中国航空 03250930 北京 03251130 福州 150 996 武汉 03251000 0 0
ZG1006 中国航空 03250930 北京 03251130 武汉 150 966 郑州 03251000 0 0
ZG1008 中国航空 03250930 北京 03251230 哈尔滨 150 966 长春 03251130 0 0
ZG1009 中国航空 03250930 北京 03251130 拉萨 150 976 西安 03251000 0 0
ZG1010 中国航空 03250930 北京 03251230 广州 160 894 长沙 03251100 0 0
ZG1011 中国航空 03250930 北京 03251130 海口 150 955 郑州 03251000 武汉 03011130
ZG1012 中国航空 03250930 北京 03251130 武汉 150 956 0 0 0 0
ZG1013 中国航空 03250930 北京 03251230 贵阳 160 826 杭州 03251100 0 0
ZG1014 中国航空 03250930 北京 03251130 乌鲁木齐 150 953 银川 03251000 0 0
ZG1015 中国航空 03250930 北京 03251100 乌鲁木齐 150 956 0 0 0 0
ZG1016 中国航空 03250930 北京 03251230 成都 160 884 西安 03251100 0 0
ZG1017 中国航空 03250930 北京 03251130 西宁 150 856 0 0 0 0
ZG1018 中国航空 03250930 北京 03251130 南宁 150 986 长沙 03251000 0 0
ZG1019 中国航空 03250930 北京 03251230 南宁 160 854 合肥 03251100 0 0
ZG1020 中国航空 03250930 北京 03251130 合肥 150 966 济南 03251000 0 0
ZG1021 中国航空 03250930 北京 03251130 香港 150 976 武汉 03251000 0 0
ZG1022 中国航空 03250930 北京 03251230 昆明 160 864 重庆 03251100 0 0
ZG1023 中国航空 03250930 北京 03251130 重庆 150 966 0 0 0 0
ZG1024 中国航空 03250930 北京 03251200 台北 150 956 上海 03251000 0 0
ZG1026 中国航空 03250930 北京 03251230 哈尔滨 150 956 沈阳 03251000 长春 03011130
ZG1027 中国航空 03250930 北京 03251130 武汉 150 956 郑州 03251000 0 0
ZG1029 中国航空 03250930 北京 03251130 福州 150 956 武汉 03251000 0 0
ZG1030 中国航空 03250930 北京 03251200 武汉 150 956 郑州 03251000 0 0
ZG1032 中国航空 03250930 北京 03251230 哈尔滨 150 956 沈阳 03251000 长春 03011130
ZG1033 中国航空 03250930 北京 03251200 拉萨 150 956 西安 03251000 0 0
